001##01 阿含部類 T01-02,25,33 etc.
001001##T0001-25 長阿含經 etc. T01
001001001##T0001 長阿含經22卷
007001002010##X0657 涅槃經治定疏科
007001002011##X0658 涅槃經會疏條箇
007001002012##X0659 涅槃經會疏
007001002013##X0660 涅槃經疏私記
007001002014##X0661 涅槃經疏私記
007001002015##X0662 涅槃經疏三德指歸
007001002016##X0663 科南本涅槃經
007001002017##X0664 涅槃經會疏解
007001003##T0376 佛說大般泥洹經6卷
007002##T0377-88,90-96, F0248 涅槃經餘 T12b, F03
007002001##T0377 大般涅槃經後分2卷
007002002##T0378-80 泥洹經支分
007002002001##T0378 佛說方等般泥洹經2卷
007002002002##T0379 四童子三昧經3卷
007002002003##T0380 大悲經5卷
007002003##T0381-82 眾德三昧
007002003001##T0381 等集眾德三昧經3卷
007002003002##T0382 集一切福德三昧經3卷
007002004##T0383 摩訶摩耶經2卷
007002005##T0384 菩薩從兜術天降神母胎說廣普經7卷
007002006##T0385 中陰經2卷
007002007##T0386 蓮華面經2卷
007002008##T0387 大方等無想經6卷
007002009##T0388 大雲無想經卷第九1卷
007002010##T0390 佛臨涅槃記法住經1卷
007002011##T0391 般泥洹後灌臘經1卷
007002012##T0392 佛滅度後棺斂葬送經1卷
007002013##T0393 迦葉赴佛般涅槃經1卷
007002014##T0394 佛入涅槃密&CB00528;金剛力士哀戀經1卷
007002015##T0395 佛說當來變經1卷
007002016##T0396 佛說法滅盡經1卷
007002017##F0248 佛說救護身命經
007003##T0389 遺教經 T12b／論 T26a／疏 T40b, X37,53, P174
007003001##T0389 佛垂般涅槃略說教誡經1卷
007003002##T1529 遺教經論1卷
007003003##T1820 佛遺教經論疏節要1卷
007003004##P1590 佛遺教經論疏節要
007003005##X0665 遺教經補註
007003006##X0666 遺教經解
007003007##X0845 遺教經論住法記
007003008##X0846 遺教經論記
007004##T1527-28 涅槃經釋論 T26a
007004001##T1527 涅槃論1卷
007004002##T1528 涅槃經本有今無偈論1卷
008##08 大集部類 T13,26a, X21,74 etc.
008001##T0397 大方等大集經60卷 T13
008002##T0398-424 etc. 大集經餘 T13, X21,74, A114
008002001##T0398 大哀經8卷
008002002##T0399 寶女所問經4卷
008002003##T0400 佛說海意菩薩所問淨印法門經18卷
008002004##T0401 佛說無言童子經2卷
008002005##T0402 寶星陀羅尼經10卷
008002006##T0403 阿差末菩薩經7卷
008002007##T0404 大集大虛空藏菩薩所問經8卷
008002008##T0405 虛空藏菩薩經1卷
008002009##T0406 虛空藏菩薩神咒經1卷
008002010##T0407 虛空藏菩薩神&CB00057;經1卷
008002011##T0408 虛空孕菩薩經2卷
008002012##T0409 觀虛空藏菩薩經1卷
008002013##T0410 大方廣十輪經8卷
008002014##T0411 大乘大集地藏十輪經10卷
008002015##T0412 地藏菩薩本願經 T13／科 etc. X21／禮懺 X74
008002015001##T0412 地藏菩薩本願經2卷
008002015002##X0382 地藏本願經科
008002015003##X0383 地藏本願經綸貫
008002015004##X0384 地藏本願經科註
008002015005##X1486 讚禮地藏菩薩懺願儀1卷
008002015006##X1487 慈悲地藏菩薩懺法3卷
008002016##T0413 百千頌大集經地藏菩薩請問法身讚1卷
008002017##T0414 菩薩念佛三昧經5卷
008002018##T0415 大方等大集經菩薩念佛三昧分10卷
008002019##T0416 大方等大集經賢護分5卷
008002020##T0417 般舟三昧經1卷
008002021##T0418 般舟三昧經3卷
008002022##T0419 拔陂菩薩經1卷
008002023##T0420 自在王菩薩經2卷
008002024##T0421 奮迅王問經2卷
008002025##T0422 大集譬喻王經2卷
008002026##T0423 僧伽吒經4卷
008002027##A1510 佛說大乘僧伽吒法義經
008002028##T0424 大集會正法經5卷
008003##T1526 寶髻經四法憂波提舍1卷 T26a
009##09 經集部類 T14-17,19,21,26a,38-39,85, X01,09-10,17-21,37,39,74 etc.
009001##T0425-448 etc. 佛名經 etc. T14, F28, C071, L157
009001001##T0425 賢劫經8卷
009001002##T0426 佛說千佛因緣經1卷
009001003##T0427 佛說八吉祥神&CB00057;經1卷
009001004##T0428 佛說八陽神&CB00057;經1卷
009001005##T0429 佛說八部佛名經1卷
009001006##T0430 八吉祥經1卷
009001007##T0431 八佛名號經1卷
009001008##T0432 佛說十吉祥經1卷
009001009##T0433 佛說寶網經1卷
009001010##T0434 佛說稱揚諸佛功德經3卷
009001011##T0435 佛說滅十方冥經1卷
009001012##T0436 受持七佛名號所生功德經1卷
009001013##T0437 大乘寶月童子問法經1卷
009001014##T0438 佛說大乘大方廣佛冠經2卷
009001015##T0439 佛說諸佛經1卷
009001016##T0440 佛說佛名經12卷
009001017##T0441 佛說佛名經30卷
009001018##T0442 十方千五百佛名經1卷
009001019##T0443 五千五百佛名神&CB00057;除障滅罪經8卷
009001020##T0444 佛說百佛名經1卷
009001021##T0445 佛說不思議功德諸佛所護念經2卷
009001022##T0446a 過去莊嚴劫千佛名經1卷
009001023##T0446b 過去莊嚴劫千佛名經1卷
009001024##T0447a 現在賢劫千佛名經1卷
009001025##T0447b 現在賢劫千佛名經1卷
009001026##T0448a 未來星宿劫千佛名經1卷
009001027##T0448b 未來星宿劫千佛名經1卷
009001028##F1072 一切佛菩薩名集
009001029##C1665 菩薩名經
009001030##L1651 五百羅漢尊號
009002##T0449-457, F0088 諸佛本願經 etc. T14,19,21, F03／疏 T38,T85, X21, S06／禮懺 X74
009002001##彌勒經 etc. T14／疏 T38, X21, S06
009002001001##T0452 佛說觀彌勒菩薩上生兜率天經1卷
009002001002##T0453 佛說彌勒下生經1卷
009002001003##T0454 佛說彌勒下生成佛經1卷
009002001004##T0455 佛說彌勒下生成佛經1卷
009002001005##T0456 佛說彌勒大成佛經1卷
009002001006##T0457 佛說彌勒來時經1卷
009002001007##T1771 彌勒經遊意1卷
009002001008##T1772 觀彌勒上生兜率天經贊2卷
009002001009##T1773 彌勒上生經宗要1卷
009002001010##T1774 三彌勒經疏1卷
009002001011##X0388 彌勒上生經述贊
009002001012##X0389 彌勒下生經述贊
009002001013##X0393 彌勒上生經瑞應鈔科
009002001014##X0394 彌勒上生經瑞應鈔
009002001015##S0046 上生經會古通今新抄
009002001016##S0047 上生經疏隨新抄科文
009002002##藥師經 etc. T14,19,21, F03／疏 T38,85, X21／禮懺 X74
009002002001##T0449 佛說藥師如來本願經1卷
009002002002##T0450 藥師琉璃光如來本願功德經1卷
009002002003##T0451 藥師琉璃光七佛本願功德經2卷
009002002004##T0922 藥師琉璃光如來消災除難念誦儀軌1卷
009002002005##T1331 佛說灌頂經12卷
009002002006##F0088 佛說灌頂章句拔除過罪生死得度經
009002002007##T1770 本願藥師經古&CB00528;2卷
009002002008##T2766-67 藥師經古逸疏 T85
009002002008001##T2766 藥師經疏 1卷
009002002008002##T2767 藥師經疏 1卷
009002002009##X0381 藥師經直解
009002002010##X1483 藥師三昧行法 1卷
009002002011##X1484 慈悲藥師寶懺 1卷
009003##T0458-601, X0026-27 所問經 etc. T14-15, X01／疏 T38,T85, X18-20,39
009003001##T0458 文殊師利問菩薩署經1卷
009003002##T0459 佛說文殊悔過經1卷
009003003##T0460 佛說文殊師利淨律經1卷
009003004##T0461 佛說文殊師利現寶藏經2卷
009003005##T0462 大方廣寶篋經3卷
009003006##T0463 佛說文殊師利般涅槃經1卷
009003007##T0464 文殊師利問菩提經1卷
009003008##T0465 伽耶山頂經1卷
009003009##T0466 佛說象頭精舍經1卷
009003010##T0467 大乘伽耶山頂經1卷
009003011##T0468 文殊師利問經2卷
009003012##T0469 文殊問經字母品第十四1卷
009003013##T0470 佛說文殊師利巡行經1卷
009003014##T0471 佛說文殊師利行經1卷
009003015##T0472 佛說大乘善見變化文殊師利問法經1卷
009003016##T0473 佛說妙吉祥菩薩所問大乘法螺經1卷
009003017##T0474-76 維摩詰經 T14／疏 T38,85, X18-19
009003017001##T0474 佛說維摩詰經2卷
009003017002##T0475 維摩詰所說經3卷
009003017003##T0476 說無垢稱經6卷
009003017004##T1775 注維摩詰經10卷
009003017005##T1776 維摩義記8卷
009003017006##T1777 維摩經玄疏6卷
009003017007##T1778 維摩經略疏10卷
009003017008##T1779 維摩經略疏垂裕記10卷
009003017009##T1780 淨名玄論8卷
009003017010##T1781 維摩經義疏6卷
009003017011##T1782 說無垢稱經疏12卷
009003017012##T2768 維摩義記 1卷
009003017013##T2769 維摩經義記卷第四 4卷
009003017014##T2770 維摩經疏 1卷
009003017015##T2771 維摩經疏 1卷
009003017016##T2772 維摩經疏卷第三．第六 2卷
009003017017##T2773 維摩經抄 1卷
009003017018##T2774 維摩經疏 1卷
009003017019##T2775 維摩疏釋前小序抄 1卷
009003017020##T2776 釋肇序 1卷
009003017021##T2777 淨名經集解關中疏 2卷
009003017022##T2778 淨名經關中釋抄 2卷
009003017023##T2824 天台分門圖 1卷
009003017024##X0338 維摩經文疏
009003017025##X0340 維摩經疏記
009003017026##X0343 維摩經略疏
009003017027##X0345 維摩經疏記鈔
009003017028##X0347 維摩經評註
009003017029##X0348 維摩經無我疏
009003017030##X0349 維摩經疏科
009003018##T0477 佛說大方等頂王經1卷
009003019##T0478 大乘頂王經1卷
009003020##T0479 善思童子經2卷
009003021##T0480 佛說月上女經2卷
009003022##T0481 持人菩薩經4卷
009003023##T0482 持世經4卷
009003024##T0483 三曼陀跋陀羅菩薩經1卷
009003025##T0484 不思議光菩薩所說經1卷
009003026##T0485 無所有菩薩經4卷
009003027##T0486 師子莊嚴王菩薩請問經1卷
009003028##T0487 離垢慧菩薩所問禮佛法經1卷
009003029##T0488 寶授菩薩菩提行經1卷
009003030##T0489 佛說除蓋障菩薩所問經20卷
009003031##T0490 佛說八大菩薩經1卷
009003032##T0491 六菩薩亦當誦持經1卷
009003033##T0492a 佛說阿難問事佛吉凶經1卷
009003034##T0492b 阿難問事佛吉凶經1卷
009003035##T0493 佛說阿難四事經1卷
009003036##T0494 阿難七夢經1卷
009003037##T0495 佛說阿難分別經1卷
009003038##T0496 佛說大迦葉本經1卷
009003039##T0497 佛說摩訶迦葉度貧母經1卷
009003040##T0498 佛說初分說經2卷
009003041##T0499 佛為阿支羅迦葉自化作苦經1卷
009003042##T0500 羅云忍辱經1卷
009003043##T0501 佛說沙曷比丘功德經1卷
009003044##T0502 佛為年少比丘說正事經1卷
009003045##T0503 比丘避女惡名欲自殺經1卷
009003046##T0504 比丘聽施經1卷
009003047##T0505 佛說隨勇尊者經1卷
009003048##T0506 犍陀國王經1卷
009003049##T0507 佛說未生冤經1卷
009003050##T0508 阿闍世王問五逆經1卷
009003051##T0509 阿闍世王授決經1卷
009003052##T0510 採花違王上佛授決號妙花經1卷
009003053##T0511 佛說蓱沙王五願經1卷
009003054##T0512 佛說淨飯王般涅槃經1卷
009003055##T0513 佛說琉璃王經1卷
009003056##T0514 佛說諫王經1卷
009003057##T0515 如來示教勝軍王經1卷
009003058##T0516 佛說勝軍王所問經1卷
009003059##T0517 佛說末羅王經1卷
009003060##T0518 佛說旃陀越國王經1卷
009003061##T0519 佛說摩達國王經1卷
009003062##T0520 佛說薩羅國經1卷
009003063##T0521 佛說梵摩難國王經1卷
009003064##T0522 普達王經1卷
009003065##T0523 佛說五王經1卷
009003066##T0524 佛為優填王說王法政論經1卷
009003067##T0525 佛說長者子懊惱三處經1卷
009003068##T0526 佛說長者子制經1卷
009003069##T0527 佛說逝童子經1卷
009003070##T0528 佛說菩薩逝經1卷
009003071##T0529 佛說阿鳩留經1卷
009003072##T0530 佛說須摩提長者經1卷
009003073##T0531 佛說長者音悅經1卷
009003074##T0532 私呵昧經1卷
009003075##T0533 菩薩生地經1卷
009003076##T0534 佛說月光童子經1卷
009003077##T0535 佛說申日經1卷
009003078##T0536 申日兒本經1卷
009003079##T0537 佛說越難經1卷
009003080##T0538 佛說呵鵰阿那鋡經1卷
009003081##T0539 盧至長者因緣經1卷
009003082##T0540a 佛說樹提伽經1卷
009003083##T0540b 佛說樹提伽經1卷
009003084##T0541 佛說佛大僧大經1卷
009003085##T0542 佛說耶祇經1卷
009003086##T0543 佛說巨力長者所問大乘經3卷
009003087##T0544 辯意長者子經1卷
009003088##T0545 佛說德護長者經2卷
009003089##T0546 佛說金耀童子經1卷
009003090##T0547 大花嚴長者問佛那羅延力經1卷
009003091##T0548 佛說金光王童子經1卷
009003092##T0549 佛說光明童子因緣經4卷
009003093##T0550 金色童子因緣經12卷
009003094##T0551 佛說摩鄧女經1卷
009003095##T0552 佛說摩登女解形中六事經1卷
009003096##T0553 佛說&CB00178;女祇域因緣經1卷
009003097##T0554 佛說柰女耆婆經1卷
009003098##T0555a 五母子經1卷
009003099##T0555b 五母子經1卷
009003100##T0556 佛說七女經1卷
009003101##T0557 佛說龍施女經1卷
009003102##T0558 佛說龍施菩薩本起經1卷
009003103##T0559 佛說老女人經1卷
009003104##T0560 佛說老母女六英經1卷
009003105##T0561 佛說老母經1卷
009003106##T0562 佛說無垢賢女經1卷
009003107##T0563 佛說腹中女聽經1卷
009003108##T0564 佛說轉女身經1卷
009003109##T0565 順權方便經2卷
009003110##T0566 樂瓔珞莊嚴方便品經1卷
009003111##T0567 佛說梵志女首意經1卷
009003112##T0568 有德女所問大乘經1卷
009003113##T0569 佛說心明經1卷
009003114##T0570 佛說賢首經1卷
009003115##T0571 佛說婦人遇辜經1卷
009003116##T0572 佛說長者法志妻經1卷
009003117##T0573 差摩婆帝授記經1卷
009003118##T0574 佛說堅固女經1卷
009003119##T0575 佛說大方等修多羅王經1卷
009003120##T0576 佛說轉有經1卷
009003121##T0577 佛說大乘流轉諸有經1卷
009003122##T0578 無垢優婆夷問經1卷
009003123##T0579 優婆夷淨行法門經2卷
009003124##T0580 佛說長者女菴提遮師子吼了義經1卷
009003125##T0581 佛說八師經1卷
009003126##T0582 佛說孫多耶致經1卷
009003127##T0583 佛說黑氏梵志經1卷
009003128##T0584 長爪梵志請問經1卷
009003129##T0585 持心梵天所問經4卷
009003130##T0586 思益梵天所問經 T15／簡註 X20
009003130001##T0586 思益梵天所問經4卷
009003130002##X0364 思益梵天所問經簡註
009003131##T0587 勝思惟梵天所問經6卷
009003132##T0588 佛說須真天子經4卷
009003133##T0589 佛說魔逆經1卷
009003134##T0590 佛說四天王經1卷
009003135##T0591 商主天子所問經1卷
009003136##T0592 天請問經／疏 T85
009003136001##T0592 天請問經1卷
009003136002##T2786 天請問經疏 1卷
009003137##T0593 佛為勝光天子說王法經1卷
009003138##T0594 佛說大自在天子因地經1卷
009003139##T0595 佛說嗟&CB00467;曩法天子受三歸依獲免惡道經1卷
009003140##T0596 佛說天王太子辟羅經1卷
009003141##T0597 龍王兄弟經1卷
009003142##T0598 佛說海龍王經4卷
009003143##T0599 佛為海龍王說法印經1卷
009003144##T0600-01, X0706 十善業道經 etc.
009003144001##T0600 十善業道經1卷
009003144002##T0601 佛為娑伽羅龍王所說大乘經1卷
009003144003##X0706 十善業道經節要
009003145##X0026 大梵天王問佛決疑經
009003146##X0027 大梵天王問佛決疑經
009004##T0602-20 禪經 etc. T15
009004001##T0602 佛說大安般守意經2卷
009004002##T0603 陰持入經2卷
009004003##T0604 佛說禪行三十七品經1卷
009004004##T0605 禪行法想經1卷
009004005##T0606 修行道地經7卷
009004006##T0607 道地經1卷
009004007##T0608 小道地經1卷
009004008##T0609 禪要經1卷
009004009##T0610 佛說內身觀章句經1卷
009004010##T0611 法觀經1卷
009004011##T0612 身觀經1卷
009004012##T0613 禪祕要法經3卷
009004013##T0614 坐禪三昧經2卷
009004014##T0615 菩薩訶色欲法經1卷
009004015##T0616 禪法要解2卷
009004016##T0617 思惟略要法1卷
009004017##T0618 達摩多羅禪經2卷
009004018##T0619 五門禪經要用法1卷
009004019##T0620 治禪病祕要法2卷
009005##T0621-48, X0015 三昧經 etc. T15, X01
009005001##T0621 佛說佛印三昧經1卷
009005002##T0622 佛說自誓三昧經1卷
009005003##T0623 佛說如來獨證自誓三昧經1卷
009005004##T0624 佛說伅真陀羅所問如來三昧經3卷
009005005##T0625 大樹緊那羅王所問經4卷
009005006##T0626 佛說阿闍世王經2卷
009005007##T0627 文殊支利普超三昧經3卷
009005008##T0628 佛說未曾有正法經6卷
009005009##T0629 佛說放&CB00425;經1卷
009005010##T0630 佛說成具光明定意經1卷
009005011##T0631 佛說法律三昧經1卷
009005012##T0632 佛說慧印三昧經1卷
009005013##T0633 佛說如來智印經1卷
009005014##T0634 佛說大乘智印經5卷
009005015##T0635 佛說弘道廣顯三昧經4卷
009005016##T0636 無極寶三昧經2卷
009005017##T0637 佛說寶如來三昧經2卷
009005018##T0638 佛說超日明三昧經2卷
009005019##T0639 月燈三昧經10卷
009005020##T0640 佛說月燈三昧經1卷
009005021##T0641 佛說月燈三昧經1卷
009005022##T0642 佛說首楞嚴三昧經2卷
009005023##T0643 佛說觀佛三昧海經10卷
009005024##T0644 佛說金剛三昧本性清淨不壞不滅經1卷
009005025##T0645 不必定入定入印經1卷
009005026##T0646 入定不定印經1卷
009005027##T0647 力莊嚴三昧經3卷
009005028##T0648 寂照神變三摩地經1卷
009005029##X0015 淨度三昧經
009006##T0649-655 法相經 etc. T15
009006001##T0649 觀察諸法行經4卷
009006002##T0650 諸法無行經2卷
009006003##T0651 佛說諸法本無經3卷
009006004##T0652 佛說大乘隨轉宣說諸法經3卷
009006005##T0653 佛藏經3卷
009006006##T0654 佛說入無分別法門經1卷
009006007##T0655 佛說勝義空經1卷
009007##T0656-62 瓔珞經 etc. T16
009007001##T0656 菩薩瓔珞經14卷
009007002##T0657 佛說華手經10卷
009007003##T0658 寶雲經7卷
009007004##T0659 大乘寶雲經7卷
009007005##T0660 佛說寶雨經10卷
009007006##T0661 大乘百福相經1卷
009007007##T0662 大乘百福莊嚴相經1卷
009008##T0663-65 金光明經 etc. T16／疏 T39, X20
009008001##T0663 金光明經4卷
009008002##T0664 合部金光明經8卷
009008003##T0665 金光明最勝王經10卷
009008004##T1783 金光明經玄義2卷
009008005##T1784 金光明經玄義拾遺記6卷
009008006##T1785 金光明經文句6卷
009008007##T1786 金光明經文句記12卷
009008008##T1787 金光明經疏1卷
009008009##T1788 金光明最勝王經疏10卷
009008010##X0355 金光明經玄義科
009008011##X0356 金光明經玄義拾遺記會本
009008012##X0357 金光明經文句科
009008013##X0358 金光明經文句文句記會本
009008014##X0359 金光明經玄義順正記
009008015##X0360 金光明經文句新記
009008016##X0361 金光明經照解
009008017##X0362 金光明經科註
009009##T0666-69 如來藏經 etc. T16
009009001##T0666 大方等如來藏經1卷
009009002##T0667 大方廣如來藏經1卷
009009003##T0668 佛說不增不減經1卷
009009004##T0669 佛說無上依經2卷
009010##T0670-74, X0008 楞伽經 etc. T16, X01／疏 T39,85, X17-18, C097
009010001##T0670 楞伽阿跋多羅寶經4卷
009010002##T0671 入楞伽經10卷
009010003##T0672 大乘入楞伽經7卷
009010004##T0673 大乘同性經2卷
009010005##T0674 證契大乘經2卷
009010006##T1789 楞伽阿跋多羅寶經註解8卷
009010007##T1790 入楞伽心玄義1卷
009010008##T1791 注大乘入楞伽經10卷
009010009##T2779 佛說楞伽經禪門悉談章 1卷
009010010##X0008 楞伽阿跋多羅寶經會譯
009010011##X0321 楞伽經註
009010012##X0322 楞伽經疏
009010013##X0323 楞伽經通義
009010014##X0324 楞伽經集註
009010015##X0325 楞伽經纂
009010016##C1821 楞伽經纂
009010017##X0326 觀楞伽經記
009010018##X0327 楞伽補遺
009010019##X0328 楞伽經玄義
009010020##X0329 楞伽經義疏
009010021##X0330 楞伽經宗通
009010022##X0331 楞伽經合轍
009010023##X0332 楞伽經參訂疏
009010024##X0333 楞伽經精解評林
009010025##X0334 楞伽經心印
009011##T0675-82 解深密經 etc. T16／疏 X21
009011001##T0675 深密解脫經5卷
009011002##T0676 解深密經／疏 X21
009011002001##T0676 解深密經5卷
009011002002##X0369 解深密經疏
009011003##T0677 佛說解節經1卷
009011004##T0678 相續解脫地波羅蜜了義經1卷
009011005##T0679 相續解脫如來所作隨順處了義經1卷
009011006##T0680 佛說佛地經1卷
009011007##T0681-682 大乘密嚴經／疏 X21
009011007001##T0681 大乘密嚴經3卷
009011007002##T0682 大乘密嚴經3卷
009011007003##X0368 大乘密嚴經疏
009012##T0683-707 福田經 etc. T16／疏 T39,85, X21／禮懺 X74
009012001##T0683 佛說諸德福田經1卷
009012002##T0684 佛說父母恩難報經1卷
009012003##T0685 盂蘭盆經／疏 T39,85, X21／禮懺 X74
009012003001##T0685 佛說盂蘭盆經1卷
009012003002##T1792 佛說盂蘭盆經疏2卷
009012003003##T2781 盂蘭盆經讚述 1卷
009012003004##X0372 盂蘭盆經疏新記
009012003005##X0373 盂蘭盆經疏會古通今記
009012003006##X0374 盂蘭盆經疏孝衡鈔科
009012003007##X0375 盂蘭盆經疏孝衡鈔
009012003008##X0376 盂蘭盆經疏鈔餘義
009012003009##X0377 盂蘭盆經新疏
009012003010##X0378 盂蘭盆經疏折中疏
009012003011##X0379 盂蘭盆經略疏
009012003012##X1500 蘭盆獻供儀 1卷
009012004##T0686 佛說報恩奉盆經1卷
009012005##T0687 佛說孝子經1卷
009012006##T0688 佛說未曾有經1卷
009012007##T0689 甚希有經1卷
009012008##T0690 佛說希有挍量功德經1卷
009012009##T0691 最無比經1卷
009012010##T0692 佛說作佛形像經1卷
009012011##T0693 佛說造立形像福報經1卷
009012012##T0694 佛說大乘造像功德經2卷
009012013##T0695 佛說灌洗佛形像經1卷
009012014##T0696 佛說摩訶剎頭經1卷
009012015##T0697 佛說浴像功德經1卷
009012016##T0698 浴佛功德經1卷
009012017##T0699 佛說造塔功德經1卷
009012018##T0700 右繞佛塔功德經1卷
009012019##T0701 溫室經／疏 T39,85
009012019001##T0701 佛說溫室洗浴眾僧經1卷
009012019002##T1793 溫室經義記1卷
009012019003##T2780 溫室經疏 1卷
009012020##T0702 佛說施燈功德經1卷
009012021##T0703 燈指因緣經1卷
009012022##T0704 佛說樓閣正法甘露鼓經1卷
009012023##T0705 佛說布施經1卷
009012024##T0706 佛說五大施經1卷
009012025##T0707 佛說出家功德經1卷
009013##T0708-20 緣生經 etc. T16／疏 T85
009013001##T0708-12 稻[卄/干]經／疏 T85
009013001001##T0708 了本生死經1卷
009013001002##T0709 佛說稻[卄/干]經1卷
009013001003##T0710 慈氏菩薩所說大乘緣生稻[卄/幹]喻經1卷
009013001004##T0711 大乘舍黎娑擔摩經1卷
009013001005##T0712 佛說大乘稻[卄/干]經1卷
009013001006##T2782-83 稻[卄/干]經古逸疏
009013001006001##T2782 大乘稻[卄/干]經隨聽疏 1卷
009013001006002##T2783 大乘稻[卄/干]經隨聽疏決 1卷
009013002##T0713 貝多樹下思惟十二因緣經1卷
009013003##T0714 緣起聖道經1卷
009013004##T0715 佛說舊城喻經1卷
009013005##T0716 緣生初勝分法本經2卷
009013006##T0717 分別緣起初勝法門經2卷
009013007##T0718 佛說分別緣生經1卷
009013008##T0719 十二緣生祥瑞經2卷
009013009##T0720 無明羅剎集3卷
009014##T0721-59, X0023 業道經 etc. T17, X01
009014001##T0721 正法念處經70卷
009014002##T0722 妙法聖念處經8卷
009014003##T0723 分別業報略經1卷
009014004##T0724 佛說罪業應報教化地獄經1卷
009014005##T0725 佛說六道伽陀經1卷
009014006##T0726 六趣輪迴經1卷
009014007##T0727 十不善業道經1卷
009014008##T0728 諸法集要經10卷
009014009##T0729 佛說分別善惡所起經1卷
009014010##T0730 佛說處處經1卷
009014011##T0731 佛說十八泥犁經1卷
009014012##T0732 佛說罵意經1卷
009014013##T0733 佛說堅意經1卷
009014014##T0734 佛說鬼問目連經1卷
009014015##T0735 佛說四願經1卷
009014016##T0736 佛說四自侵經1卷
009014017##T0737 所欲致患經1卷
009014018##T0738 佛說分別經1卷
009014019##T0739 佛說慢法經1卷
009014020##T0740 佛說頞多和多耆經1卷
009014021##T0741 五苦章句經1卷
009014022##T0742 佛說自愛經1卷
009014023##T0743 佛說忠心經1卷
009014024##T0744 佛說除恐災患經1卷
009014025##T0745 佛說雜藏經1卷
009014026##T0746 餓鬼報應經1卷
009014027##T0747a 佛說罪福報應經1卷
009014028##T0747b 佛說輪轉五道罪福報應經1卷
009014029##T0748 佛說護淨經1卷
009014030##T0749 佛說因緣僧護經1卷
009014031##T0750 沙彌羅經1卷
009014032##T0751a 佛說五無反復經1卷
009014033##T0751b 佛說五無返復經1卷
009014034##T0752 佛說五無返復經1卷
009014035##T0753 十二品生死經1卷
009014036##T0754 佛說未曾有因緣經2卷
009014037##T0755 佛說淨意優婆塞所問經1卷
009014038##T0756 佛說八無暇有暇經1卷
009014039##T0757 佛說身毛喜豎經3卷
009014040##T0758 佛說諸行有為經1卷
009014041##T0759 佛說較量壽命經1卷
009014042##X0023 大藏正教血盆經
009015##T0760-84 etc. 名數經 etc. T17, X37
009015001##T0760 惟日雜難經1卷
009015002##T0761 佛說法集經6卷
009015003##T0762 佛說決定義經1卷
009015004##T0763 佛說法乘義決定經3卷
009015005##T0764 佛說法集名數經1卷
009015006##T0765 本事經7卷
009015007##T0766 佛說法身經1卷
009015008##T0767 佛說三品弟子經1卷
009015009##T0768 三慧經1卷
009015010##T0769 佛說四輩經1卷
009015011##T0770 佛說四不可得經1卷
009015012##T0771 四品學法經1卷
009015013##T0772 大乘四法經1卷
009015014##T0773 佛說菩薩修行四法經1卷
009015015##T0774 大乘四法經1卷
009015016##T0775 佛說四無所畏經1卷
009015017##T0776 佛說四品法門經1卷
009015018##T0777 佛說賢者五福德經1卷
009015019##T0778 佛說菩薩內習六波羅蜜經1卷
009015020##T0779 佛說八大人覺經／疏 X37
009015020001##T0779 佛說八大人覺經1卷
009015020002##X0672 八大人覺經略解
009015020003##X0673 八大人覺經疏
009015021##T0780 佛說十力經1卷
009015022##T0781 佛說佛十力經1卷
009015023##T0782 佛說十號經1卷
009015024##T0783 佛說十二頭陀經1卷
009015025##T0784 四十二章經／疏 T39, X37
009015025001##T0784 四十二章經1卷
009015025002##T1794 註四十二章經1卷
009015025003##X0669 四十二章經註
009015025004##X0670 四十二章經解
009015025005##X0671 四十二章經疏鈔
009015025006##X0675 佛祖三經指南
009016##T0785-89 數珠經 etc. T17
009016001##T0785 得道梯橙錫杖經1卷
009016002##T0786 佛說木&CB00185;子經1卷
009016003##T0787 曼殊室利&CB00057;藏中校量數珠功德經1卷
009016004##T0788 佛說校量數珠功德經1卷
009016005##T0789 金剛頂瑜伽念珠經1卷
009017##T0790-847, JB044 etc. 諸雜經 etc. T17, X01,74, J19／疏 X09-10, 21,37
009017001##T0790 佛說孛經抄1卷
009017002##T0791 佛說出家緣經1卷
009017003##T0792 佛說法受塵經1卷
009017004##T0793 佛說佛醫經1卷
009017005##T0794a 佛說時非時經1卷
009017006##T0794b 佛說時非時經1卷
009017007##T0795 佛治身經1卷
009017008##T0796 佛說見正經1卷
009017009##T0797a 佛說貧窮老公經1卷
009017010##T0797b 佛說貧窮老公經1卷
009017011##T0798 佛說進學經1卷
009017012##T0799 佛說略教誡經1卷
009017013##T0800 佛說無上處經1卷
009017014##T0801 佛說無常經1卷
009017015##T0802 佛說信解智力經1卷
009017016##T0803 佛說清淨心經1卷
009017017##T0804 佛說解憂經1卷
009017018##T0805 佛說栴檀樹經1卷
009017019##T0806 佛說枯樹經1卷
009017020##T0807 佛說內藏百寶經1卷
009017021##T0808 佛說犢子經1卷
009017022##T0809 佛說乳光佛經1卷
009017023##T0810 諸佛要集經2卷
009017024##T0811 佛說決定總持經1卷
009017025##T0812 菩薩行五十緣身經1卷
009017026##T0813 佛說無希望經1卷
009017027##T0814 佛說象腋經1卷
009017028##T0815 佛昇忉利天為母說法經3卷
009017029##T0816 佛說道神足無極變化經4卷
009017030##T0817 佛說大淨法門經1卷
009017031##T0818 大莊嚴法門經2卷
009017032##T0819 佛說法常住經1卷
009017033##T0820 佛說演道俗業經1卷
