001##X01
001001##X0001 圓覺經佚文
020006##X0359 金光明經玄義順正記
020007##X0360 金光明經文句新記
020008##X0361 金光明經照解
020009##X0362 金光明經科註
020010##X0363=T1788 金光明最勝王經疏
020010001##T1788 金光明最勝王經疏
020011##X0364 思益梵天所問經簡註
020012##X0365 大乘本生心地觀經淺註懸示
020013##X0366 大乘本生心地觀經淺註科文
020014##X0367a 大乘本生心地觀經淺註(第1卷-第3卷)
021##X21
021001##X0367b 大乘本生心地觀經淺註(第4卷-第8卷)
021002##X0368 大乘密嚴經疏
021003##X0369 解深密經疏
021004##X0370 占察善惡業報經玄義
021005##X0371 占察善惡業報經義疏
021006##X0372 盂蘭盆經疏新記
021007##X0373 盂蘭盆經疏會古通今記
021008##X0374 盂蘭盆經疏孝衡鈔科
021009##X0375 盂蘭盆經疏孝衡鈔
021010##X0376 盂蘭盆經疏鈔餘義
021011##X0377 盂蘭盆經新疏
021012##X0378 盂蘭盆經疏折中疏
021013##X0379 盂蘭盆經略疏
021014##X0380=T1770 藥師經古[這-言+亦]
021014001##T1770 藥師經古[這-言+亦]
021015##X0381 藥師經直解
021016##X0382 地藏本願經科文
021017##X0383 地藏本願經綸貫
021018##X0384 地藏本願經科註
021019##X0385=T1771 彌勒經遊意
021019001##T1771 彌勒經遊意
021020##X0386=T1773 彌勒上生經宗要
021020001##T1773 彌勒上生經宗要
021021##X0387=T1772 觀彌勒上生經疏
021021001##T1772 觀彌勒上生經疏
021022##X0388 彌勒上生經述贊
021023##X0389 彌勒下生經述贊
021024##X0390=T1774 彌勒上生經疏
021024001##T1774 彌勒上生經疏
021025##X0391=T1774 彌勒下生經疏
021025001##T1774 彌勒下生經疏
021026##X0392=T1774 彌勒成佛經疏
021026001##T1774 彌勒成佛經疏
021027##X0393 彌勒上生經瑞應鈔科
021028##X0394 彌勒上生經瑞應鈔
022##X22
022001##X0395=T1745 無量壽經義疏
022001001##T1745 無量壽經義疏
022002##X0396=T1746 無量壽經義疏
022002001##T1746 無量壽經義疏
022003##X0397 無量壽經記
022004##X0398=T1748 無量壽經連義述文贊
022004001##T1748 無量壽經連義述文贊
022005##X0399=T1747 無量壽經宗要
022005001##T1747 無量壽經宗要
022006##X0400 無量壽經起信論
022007##X0401 摩訶阿彌陀經衷論
022008##X0402=T1749 觀無量壽經義疏
022008001##T1749 觀無量壽經義疏
022009##X0403=T1752 觀無量壽經義疏
022009001##T1752 觀無量壽經義疏
022010##X0404=T1753 觀無量壽佛經疏
022010001##T1753 觀無量壽佛經疏
022011##X0405 釋觀無量壽佛經記
022012##X0406 觀無量壽經疏妙宗鈔科
022013##X0407 觀無量壽佛經疏妙宗鈔
022014##X0408 觀無量壽佛經融心解
022015##X0409=T1754 觀無量壽佛經義疏
022015001##T1754 觀無量壽佛經義疏
022016##X0410 觀無量壽經扶新論
022017##X0411 觀無量壽經義疏正觀記
022018##X0412 觀無量壽佛經圖頌
022019##X0413 觀無量壽經直指疏
022020##X0414 觀無量壽佛經約論
022021##X0415=T1755 阿彌陀經義記
022021001##T1755 阿彌陀經義記
022022##X0416=T1756 阿彌陀經義述
022022001##T1756 阿彌陀經義述
022023##X0417=T1758 阿彌陀經通贊疏
022023001##T1758 阿彌陀經通贊疏
022024##X0418=T1757 阿彌陀經疏
022024001##T1757 阿彌陀經疏
022025##X0419=T1760 阿彌陀經義疏
022025001##T1760 阿彌陀經義疏
022026##X0420 阿彌陀經義疏聞持記
022027##X0421 阿彌陀經句解
022028##X0422 阿彌陀經略解
022029##X0423 阿彌陀經略解圓中鈔
022030##X0424 阿彌陀經疏鈔
022031##X0425 阿彌陀經疏鈔事義
022032##X0426 阿彌陀經疏鈔問辯
022033##X0427 阿彌陀經疏鈔演義
022034##X0428 阿彌陀經疏鈔擷
022035##X0429 阿彌陀經已決
022036##X0430 阿彌陀經要解便蒙鈔
022037##X0431 阿彌陀經略註
022038##X0432 阿彌陀經註
022039##X0433 阿彌陀經約論
022040##X0434 阿彌陀經直解正行
022041##X0435 阿彌陀經摘要易解
023##X23
023001##X0436=T1419 造像量度經解
023001001##T1419 造像量度經解
023002##X0437=T1796 大日經疏
023002001##T1796 大日經疏
023003##X0438 大日經義釋
023004##X0439 大日經義釋演密鈔
023005##X0440=T1797 大毗盧遮那經供養次第法疏
023005001##T1797 大毗盧遮那經供養次第法疏
023006##X0441=T1798 金剛頂經大瑜伽祕密心地法門義訣
023006001##T1798 金剛頂經大瑜伽祕密心地法門義訣
023007##X0442=T1111 青頸觀自在菩薩心陀羅尼經釋義
023007001##T1111 青頸觀自在菩薩心陀羅尼經釋義
023008##X0443=T1802 十一面神咒心經義疏
023008001##T1802 十一面神咒心經義疏
023009##X0444=T1803 尊勝佛頂陀羅尼經疏
023009001##T1803 尊勝佛頂陀羅尼經疏
023010##X0445 佛頂尊勝陀羅尼經釋
023011##X0446 七俱胝佛母所說準提陀羅尼經會釋
023012##X0447 觀自在菩薩如意心陀羅尼經略疏
024##X24
024001##X0448 大般若經關法
024002##X0449 大般若經綱要
024003##X0450=T1696 大品經遊意
024003001##T1696 大品經遊意
024004##X0451 大品經義疏
024005##X0452=T1697 大慧度經宗要
024005001##T1697 大慧度經宗要
024006##X0453=T1695 大般若經理趣分述讚
024006001##T1695 大般若經理趣分述讚
024007##X0454 金剛經註
024008##X0455=T1699 金剛經義疏
024008001##T1699 金剛經義疏
024009##X0456 金剛經註疏
024010##X0457=T1704 金剛經略疏
024010001##T1704 金剛經略疏
024011##X0458=T1700 金剛經讚述
024011001##T1700 金剛經讚述
024012##X0459 金剛經解義
024013##X0460 金剛經口訣
024014##X0461 金剛經註
024015##X0462 金剛經會解
024016##X0463 金剛經采微科
024017##X0464 金剛經采微
024018##X0465 金剛經采微餘釋
024019##X0466 金剛疏科釋
024020##X0467 銷釋金剛經科儀會要註解
024021##X0468 金剛經註解
024022##X0469 金剛經補註
024023##X0470 金剛經註解鐵鋑錎
025##X25
025001##X0471 金剛經宗通
025002##X0472 金剛經偈釋
025003##X0473 金剛經釋
025004##X0474 金剛經決疑
025005##X0475 金剛經鎞
025006##X0476 金剛經統論
025007##X0477 金剛經正眼
025008##X0478 金剛經筆記
025009##X0479 金剛經破空論
025010##X0480 金剛經觀心釋
025011##X0481 金剛經略談
025012##X0482 金剛經略疏
025013##X0483 金剛經音釋直解
025014##X0484 金剛經大意
025015##X0485 金剛經如是解
025016##X0486 金剛經會解了義
025017##X0487 金剛新眼疏經偈合釋
025018##X0488 金剛經郢說
025019##X0489 金剛經註正訛
025020##X0490 金剛經淺解
025021##X0491 金剛經疏記科會
025022##X0492 金剛經疏記會編
025023##X0493 金剛經部旨
025024##X0494 金剛經註釋
025025##X0495 金剛經演古
025026##X0496 金剛經直說
025027##X0497 金剛經石注
025028##X0498 金剛經正解
025029##X0499 金剛經法眼懸判疏鈔
025030##X0500 金剛經法眼註疏
025031##X0501 金剛經如是經義
025032##X0502 金剛經註講
025033##X0503 金剛經注解
025034##X0504 金剛經彙纂
025035##X0505 金剛經心印疏
025036##X0506 金剛經注
025037##X0507 金剛經訂義
025038##X0508 金剛經闡說
025039##X0509 金剛經解義
025040##X0510 金剛經易解
026##X26
026001##X0511=T1707 仁王經疏
026001001##T1707 仁王經疏
026002##X0512=T1708 仁王經疏
026002001##T1708 仁王經疏
026003##X0513 仁王經合疏
026004##X0514 仁王經疏會本
026005##X0515 仁王經科疏科文
026006##X0516 仁王經科疏懸談
026007##X0517 仁王經科疏
026008##X0518=T1709 仁王經疏
026008001##T1709 仁王經疏
026009##X0519 仁王經疏法衡鈔
026010##X0520 仁王經疏
026011##X0521 般若心經疏
026012##X0522 般若心經疏
026013##X0523=T1710 般若心經幽贊
026013001##T1710 般若心經幽贊
026014##X0524 般若心經幽贊添改科
026015##X0525 般若心經幽贊崆峒記
026016##X0526 般若心經註
026017##X0527=T1711 般若心經贊
026017001##T1711 般若心經贊
026018##X0528 般若心經略疏
026019##X0529 般若心經疏
026020##X0530 般若心經疏詒謀鈔
026021##X0531 般若心經略疏顯正記
026022##X0532 般若心經略疏小鈔
026023##X0533 般若心經三注
026024##X0534 般若心經注
026025##X0535 般若心經解義節要
026026##X0536 般若心經注解
026027##X0537 般若心經直談
026028##X0538 般若心經要論
026029##X0539 般若心經說
026030##X0540 般若心經釋義
026031##X0541 般若心經釋疑
026032##X0542 般若心經直說
026033##X0543 般若心經提綱
026034##X0544 般若心經釋略
026035##X0545 般若心經概論
026036##X0546 般若心經說
026037##X0547 般若心經註解
026038##X0548 般若心經斲輪解
026039##X0549 般若心經正眼
026040##X0550 般若心經開度
026041##X0551 般若心經發隱
026042##X0552 般若心經際決
026043##X0553 般若心經添足
026044##X0554 般若心經貫義
026045##X0555 般若心經釋要
026046##X0556 般若心經小談
026047##X0557 般若心經一貫疏
026048##X0558 般若心經指掌
026049##X0559 般若心經事觀解
026050##X0560 般若心經理性解
026051##X0561 般若心經大意
026052##X0562 般若心經解
026053##X0563 般若心經請益說
026054##X0564 般若心經註疏
026055##X0565 般若心經論
026056##X0566 般若心經彙纂
026057##X0567 般若心經如是經義
026058##X0568 般若心經註講
026059##X0569 般若心經句解易知
026060##X0570 般若心經解義
026061##X0571 般若心經註解
026062##X0572 般若心經易解
026063##X0573 般若心經註解
026064##X0574 般若心經註解
026065##X0575 般若心經註解
026066##X0576 般若心經註解
027##X27
027001##X0577 法華經疏
027002##X0578=T1715 法華經義記
027002001##T1715 法華經義記
027003##X0579=T1720 法華玄論
027003001##T1720 法華玄論
027004##X0580=T1722 法華經遊意
027004001##T1722 法華經遊意
027005##X0581=T1721 法華經義疏
027005001##T1721 法華經義疏
027006##X0582 法華統略
027007##X0583 法華經大意
027008##X0584 法華三大部科文
028##X28
028001##X0585 法華經三大部讀教記
028002##X0586 法華經三大部補注
028003##X0587 大部妙玄格言
028004##X0588 法華經玄籤備撿
028005##X0589 法華經玄義節要
028006##X0590 法華經玄義輯略
028007##X0591 法華經釋籤緣起序指明
028008##X0592 法華經玄籤證釋
028009##X0593 法華經文句輔正記
029##X29
029001##X0594 法華經疏義纘
029002##X0595 妙經文句私志諸品要義
029003##X0596 妙經文句私志記
029004##X0597 法華經文句記箋難
029005##X0598 法華經文句格言
029006##X0599 法華經文句纂要
030##X30
030001##X0600 法華經入疏
030002##X0601 法華經要解科
030003##X0602 法華經要解
030004##X0603 法華經合論
030005##X0604 法華經句解
030006##X0605 法華經科註
031##X31
031001##X0606 法華經科註,(八卷),元．徐行善科註
031002##X0607 法華經科註,(七卷),明．一如集註
031003##X0608 法華經知音,(七卷),明．如愚述
031004##X0609 法華經大意,(三卷),明．無相說
031005##X0610 法華經擊節,(一卷),明．德清述
031006##X0611 法華經通義,(七卷),明．德清述
031007##X0612 法華經精解評林,(二卷),明．焦竑纂
031008##X0613 法華經意語,(一卷),明．圓澄說　明．海重訂
031009##X0614 法華經大竅,(八卷),明．通潤箋
032##X32
032001##X0615 法華經綸貫,(一卷),明．智旭述
032002##X0616 法華經會義,(十六卷),明．智旭述
032003##X0617 法華經卓解,(七卷),清．徐昌治逗註
032004##X0618 法華經大成科,(一卷),清．際慶排錄
032005##X0619 法華經大成,(十卷),清．大義集
032006##X0620 法華經大成音義,(一卷),清．淨昇集
032007##X0621 法華經授手(卷首),(一卷),清．智祥集
032008##X0622 法華經授手科,(一卷),清．智祥排
032009##X0623 法華經授手,(十卷),清．智祥集
033##X33
033001##X0624 法華經演義科,(一卷),清．廣和標科
033002##X0625 法華經演義,(二十卷),清．一松講錄　廣和編定
033003##X0626 法華經科拾懸談卷首,(一卷附妙法蓮華經弘傳序略義),清．普德立科　智一拾遺
033004##X0627 法華經科拾科,(一卷),清．普德立科　智一拾遺
033005##X0628 法華經科拾,(七卷),清．普德立科　智一拾遺
033006##X0629 法華經指掌疏科文,(一卷),清．通理排
033007##X0630 法華經指掌疏懸示,(一卷),清．通理述
033008##X0631 法華經指掌疏,(七卷),清．通理述
033009##X0632 法華經指掌疏事義,(一卷),清．通理述
033010##X0633 法華經為為章,(一卷),唐．窺基撰
033011##X0634=T1723 法華經玄贊
033011001##T1723 法華經玄贊
034##X34
034001##X0635=T1724 法華經玄贊義決
034001001##T1724 法華經玄贊義決
034002##X0636 法華經玄贊攝釋,(四卷),唐．智周撰
034003##X0637 法華經玄贊決擇記（即法華疏決擇記）,(八卷之內現存初二兩卷),唐．崇俊撰　法清集疏
034004##X0638 法華經玄贊要集,(三十五卷),唐．栖復集
034005##X0639 法華經玄贊釋,(卷二),
035##X35
035001##X0640 觀音經玄義記會本科,(一卷),
035002##X0641 觀音經玄義記條箇,(一卷),聖行述
035003##X0642 觀音經玄義記會本,(四卷),隋．智顗說　宋．知禮述
035004##X0643 觀音經義疏記會本科,(一卷),
035005##X0644 觀音經義疏記條箇,(一卷),
035006##X0645 觀音經義疏記會本,(四卷),隋．智顗說　宋．知禮述
035007##X0646 觀音經普門品重頌,(一卷),宋．遵式述
035008##X0647 觀音經普門品膚說,(一卷),清．靈耀說
035009##X0648 高王觀音經註釋,(一卷),清．智敬錄出
035010##X0649 普賢觀經義疏科,(一卷),
035011##X0650 普賢觀經義疏,(二卷),宋．本如述　處咸續解
035012##X0651 金剛三昧經注解,(四卷),明．圓澄注
035013##X0652 金剛三昧經通宗記,(十二卷),清．誅震述
035014##X0653=T1763 涅槃經集解
035014001##T1763 涅槃經集解
035015##X0654=T1764 涅槃經義記
035015001##T1764 涅槃經義記
036##X36
036001##X0655=T1768 涅槃經遊意
036001001##T1768 涅槃經遊意
036002##X0656 涅槃經玄義文句,(二卷),隋．灌頂撰　唐．道暹撰
036003##X0657 涅槃經治定疏科,(十卷),宋．智圓排定
036004##X0658 涅槃經會疏條箇,(三卷附後分條目),
036005##X0659 涅槃經會疏,(三十六卷),隋．灌頂撰　唐．湛然再治　日本．本純分會
037##X37
037001##X0660 涅槃經疏私記,(十二卷),唐．行滿集
037002##X0661 涅槃經疏私記,(九卷),唐．道暹述
037003##X0662 涅槃經疏三德指歸,(二十卷但欠卷十五),宋．智圓述
037004##X0663 科南本涅槃經,(三十六卷),元．師正排科　可度重訂
037005##X0664 涅槃經會疏解,(三十六卷),元．師正分科　明．圓澄會疏
037006##X0665 遺教經補註,(一卷),明．守遂註　了童補註
037007##X0666 遺教經解,(一卷),明．智旭述
037008##X0667=T1793 溫室經義記
037008001##T1793 溫室經義記
037009##X0668=T1794 四十二章經御註
037009001##T1794 四十二章經御註
037010##X0669 四十二章經註,(一卷),明．守遂註　了童補註
037011##X0670 四十二章經解,(一卷),明．智旭著
037012##X0671 四十二章經疏鈔,(五卷),清．續法述
037013##X0672 八大人覺經略解,(一卷),明．智旭解
037014##X0673 八大人覺經疏,(一卷),清．續法述
037015##X0674 閱經十二種,(十四卷),清．淨挺著
037016##X0675 佛祖三經指南,(三卷),明．道霈述
038##X38
038001##X0676 梵網菩薩戒經義疏,(二卷),隋．智顗說　唐．灌頂記
038002##X0677=T1812 梵網菩薩戒經疏刪補
038002001##T1812 梵網菩薩戒經疏刪補
038003##X0678 梵網菩薩戒經疏註,(八卷),宋．與咸(入疏箋經加註釋疏)
038004##X0679 梵網菩薩戒經義疏發隱,(五卷又卷一末尾附半月誦戒儀式),明．袾宏發隱
038005##X0680 梵網菩薩戒經義疏發隱事義,(一卷),明．袾宏述
038006##X0681 梵網菩薩戒經義疏發隱問辯,(一卷附事義),明．袾宏述
038007##X0682 梵網經記,(二卷),唐．傳奧述
038008##X0683 梵網經菩薩戒本私記,(卷上),新羅．元曉造
038009##X0684=T1813 梵網經菩薩戒本疏
038009001##T1813 梵網經菩薩戒本疏
038010##X0685=T1814 梵網經菩薩戒本疏
038010001##T1814 梵網經菩薩戒本疏
038011##X0686 梵網經菩薩戒本述記,(四卷),唐．勝莊撰
038012##X0687 梵網經菩薩戒本疏,(五卷但現存卷二與卷四),唐．知周撰
038013##X0688=T1906 菩薩戒本宗要
038013001##T1906 菩薩戒本宗要
038014##X0689=T1815 梵網經古[這-言+亦]記
038014001##T1815 梵網經古[這-言+亦]記
038015##X0690 梵網經菩薩戒疏,(四卷現存上卷),唐．法銑撰
038016##X0691 梵網經菩薩戒注,(三卷),宋．慧因註
038017##X0692 菩薩戒疏隨見錄,(一卷),明．今釋造
038018##X0693 梵網經玄義,(一卷),明．智旭述　道昉訂
038019##X0694 梵網經合註,(七卷釋經上下),明．智旭註　道昉訂
038020##X0695 梵網經菩薩戒略疏,(八卷附半月誦菩薩戒儀式註),明．弘贊述
038021##X0696 半月誦菩薩戒儀式註,(一卷),明．弘贊注
038022##X0697 梵網經直解,(四卷釋經上下),明．寂光直解
038023##X0698 梵網經直解事義,(一卷),
039##X39
039001##X0699 梵網經順硃,(二卷釋經上下),清．德玉順硃
039002##X0700 梵網經菩薩戒初津,(八卷),清．書玉述
039003##X0701=T1907 菩薩戒本持犯要記
039003001##T1907 菩薩戒本持犯要記
039004##X0702 菩薩戒本箋要,(一卷),明．智旭箋
039005##X0703 菩薩戒羯磨文釋,(一卷),明．智旭釋
039006##X0704 地持論義記,(十卷但現存卷三下四上五下),隋．慧遠述
039007##X0705 瓔珞本業經疏,(下卷遺失上卷),新羅．元曉撰
039008##X0706 十善業道經節要,(一卷附說十惡果報),清．蕅益編訂
039009##X0707 新刪定四分僧戒本,(一卷),唐．道宣刪定
039010##X0708 毗尼珍敬錄,(二卷),明．廣承輯錄　智旭會補
039011##X0709 毗尼止持會集,(十六卷),清．讀體集
039012##X0710=T1807 四分比丘戒本疏
039012001##T1807 四分比丘戒本疏
039013##X0711=T1806 四分律比丘含注戒本
039013001##T1806 四分律比丘含注戒本
039014##X0712 四分律含注戒本疏發揮記,(卷三),宋．允堪述
039015##X0713 四分律含注戒本疏科,(八卷),宋．元照錄
039016##X0714a 四分律含注戒本疏行宗記,(二十一卷　卷一至卷十),日本．實相書
040##X40
040001##X0714b 四分律含注戒本疏行宗記,(二十一卷　卷十一至卷二十一),唐．道宣撰宋．元照述
040002##X0715 釋四分戒本序,(一卷),宋．道言述
040003##X0716 四分戒本緣起事義,(一卷),明．廣莫輯錄
040004##X0717 四分戒本如釋,(十二卷附攝頌戒相圖),明．弘贊繹
040005##X0718 四分戒本約義,(四卷),明．元賢述
040006##X0719 重治毗尼事義集要,(十八卷),明．智旭輯釋
040007##X0720 毗尼關要,(十六卷),清．德基輯
040008##X0721 毗尼關要事義,(一卷),清．德基輯
040009##X0722 四分刪定比丘尼戒本,(一卷),宋．元照重定
040010##X0723 四分比丘尼鈔科,(一卷),宋．允堪述
040011##X0724 四分比丘尼鈔,(六卷),唐．道宣述
040012##X0725 式叉摩那尼戒本,(一卷),明．弘贊輯
040013##X0726 四分律隨機羯磨疏正源記,(八卷),宋．允堪述
041##X41
041001##X0727 四分律刪補隨機羯磨疏科,(四卷),宋．元照錄
041002##X0728 四分律刪補隨機羯磨疏濟緣記,(二十二卷),唐．道宣疏　宋．元照記　日本．禪能合會
041003##X0729 羯磨經序解,(一卷),宋．則安述
041004##X0730 毗尼作持續釋,(十五卷),唐．道宣撰集　清．讀體續釋
041005##X0731 四分律疏,(二十卷),唐．法礪撰述
041006##X0732 四分律搜玄錄,(二十卷但現存卷一、卷二及殘冊二卷),唐．志鴻撰述
042##X42
042001##X0733 四分律疏飾宗義記,(二十卷但欠卷第一本末並卷第九本末),唐．定賓作
042002##X0734 四分律疏,(二十卷但現存卷九),唐．智首撰
042003##X0735 四分律開宗記,(二十卷),唐．懷素撰
042004##X0736 四分律行事鈔批,(二十八卷),唐．大覺撰
043##X43
043001##X0737 四分律行事鈔簡正記,(十七卷),宋．景霄纂
043002##X0738 四分律行事鈔科,(十二卷),宋．元照錄
043003##X0739a=T1805 四分律行事鈔資持記
043003001##T1805 四分律行事鈔資持記
044##X44
044001##X0739b=T1805 四分律行事鈔資持記
044001001##T1805 四分律行事鈔資持記
044002##X0740 資持記序解並五例講義,(一卷),宋．則安述
044003##X0741 行事鈔諸家記標目,(一卷),宋．慧顯集　日本．戒月改錄
044004##X0742 資持記立題拾義,(一卷),宋．道標出
044005##X0743 毗尼討要,(六卷),唐．道世纂
044006##X0744 四分律名義標釋,(四十卷),明．弘贊輯
044007##X0745 四分律藏大小持戒犍度略釋,(一卷),明．智旭釋
044008##X0746 四分律拾毗尼義鈔科,(一卷),宋．元照錄
044009##X0747 四分律拾毗尼義鈔,(六卷但欠下二卷),唐．道宣撰
044010##X0748 四分律拾毗尼義鈔輔要記,(六卷),宋．允堪述
044011##X0749 佛說齋經科註,(一卷),明．智旭科註
044012##X0750 佛說目連五百問經略解,(二卷),明．性祗述
044013##X0751 佛說目連五百問戒律中輕重事經釋,(二卷),明．永海述
045##X45
045001##X0752=T1819 往生論註
045001001##T1819 往生論註
045002##X0753 十地經論義記,(十四卷之內自一至八卷佚失卷九已下六卷),隋．慧遠撰
045003##X0754 起信論一心二門大意,(一卷),陳．智愷作
045004##X0755 起信論義疏,(上卷但欠下卷),隋．曇延撰
045005##X0756=T1843 起信論義疏
045005001##T1843 起信論義疏
045006##X0757 起信論疏記,(六卷),新羅．元曉疏並別記
045007##X0758=T1849 起信論內義略探記
045007001##T1849 起信論內義略探記
045008##X0759 起信論同異略集,(二卷),唐．見登集
045009##X0760=T1846 起信論義記
045009001##T1846 起信論義記
045010##X0761=T1847 起信論別記
045010001##T1847 起信論別記
045011##X0762 起信論纂註,(二卷),明．真界纂註
045012##X0763 起信論捷要,(二卷),明．正遠註
045013##X0764 起信論續疏,(二卷附大乘起信論主馬鳴菩薩略傳),明．通潤述疏
045014##X0765 起信論疏略,(二卷),日本．覃思
045015##X0766 起信論直解,(二卷),明．德清述
045016##X0767 起信論疏記會閱,(卷首一卷),清．續法輯
045017##X0768 起信論疏記會閱,(十卷),清．續法會編
045018##X0769=T1850 起信論裂網疏
045018001##T1850 起信論裂網疏
045019##X0770 釋摩訶衍論記,(一卷),唐．聖法鈔
045020##X0771 釋摩訶衍論疏,(六卷欠中卷本末),唐．法敏集
045021##X0772 釋摩訶衍論贊玄疏,(五卷),宋．法悟撰
046##X46
046001##X0773 釋摩訶衍論科,(卷下),宋．普觀治定
046002##X0774 釋摩訶衍論記,(六卷),宋．普觀述
046003##X0775 釋摩訶衍論通玄鈔,(四卷),宋．志福撰
046004##X0776 大宗地玄文本論略註,(四卷),清．楊文會略註
046005##X0777 金剛頂菩提心論略記,(一卷),唐．遍滿撰
046006##X0778=T1855 三論遊意義
046006001##T1855 三論遊意義
046007##X0779=T1852 三論玄義
046007001##T1852 三論玄義
046008##X0780=T1824 中論疏
046008001##T1824 中論疏
046009##X0781=T1827 百論疏
046009001##T1827 百論疏
046010##X0782=T1825 十二門論疏
046010001##T1825 十二門論疏
046011##X0783=T1826 十二門論宗致義記
046011001##T1826 十二門論宗致義記
046012##X0784 大乘四論玄義,(十卷但欠卷一、三與四),唐．均正撰
046013##X0785=T1838 大乘法界無差別論疏
046013001##T1838 大乘法界無差別論疏
046014##X0786 大乘法界無差別論疏領要鈔科,(一卷),宋．普觀錄
046015##X0787 大乘法界無差別論疏領要鈔,(二卷),宋．普觀述
046016##X0788 掌珍論疏,(卷下)
046017##X0789=T1818 法華論疏
046017001##T1818 法華論疏
046018##X0790 法華經論述記,(上卷)
046019##X0791 大智度論疏,(卷一、六、十五、十七、與二十四),南北朝．慧影抄撰
046020##X0792=T1816 金剛般若經論會釋
046020001##T1816 金剛般若經論會釋
047##X47
047001##X0793=T1829 瑜伽論略纂
047001001##T1829 瑜伽論略纂
047002##X0794 瑜伽論劫章頌,(一卷),唐．窺基撰
047003##X0795=T1828 瑜伽論記
047003001##T1828 瑜伽論記
048##X48
048001##X0796 雜集論述記,(十卷),唐．窺基撰
048002##X0797 中邊分別論疏,(卷第三),新羅．元曉撰
048003##X0798=T1835 辯中邊論述記
048003001##T1835 辯中邊論述記
048004##X0799 百法論顯幽鈔,(二十卷之中卷一末、二末與七末),宋．從芳述
048005##X0800=T1837 百法明門論疏
048005001##T1837 百法明門論疏
048006##X0801=T1836 百法明門論解
048006001##T1836 百法明門論解
048007##X0802 百法明門論論義,(一卷),明．德清述
048008##X0803 百法明門論纂,(一卷),明．廣益纂釋
048009##X0804 百法明門論贅言,(一卷),唐．窺基註解　明．明昱贅言
048010##X0805 百法明門論直解,(一卷),明．智旭解
048011##X0806 成唯識論料簡,(二卷),唐．窺基撰
048012##X0807=T1830 成唯識論述記
048012001##T1830 成唯識論述記
048013##X0808 成唯識論別抄,(十卷但現存卷一、五、九、十),唐．窺基撰
049##X49
049001##X0809=T1831 成唯識論樞要
049001001##T1831 成唯識論樞要
049002##X0810 成唯識論掌中樞要記,(二卷但現存卷上),唐．智周述
049003##X0811=T1832 成唯識論了義燈
049003001##T1832 成唯識論了義燈
049004##X0812 成唯識論了義燈記,(二卷但現存卷下),唐．智周撰
049005##X0813=T1833 成唯識論演祕
049005001##T1833 成唯識論演祕
049006##X0814 成唯識論義蘊,(五卷),唐．道邑撰
049007##X0815 成唯識論疏義演,(二十六卷但欠原本卷第三末下、卷第九本末、卷第十一末),唐．如理集
050##X50
050001##X0816 成唯識論演秘釋,(卷一),唐．如理撰
050002##X0817 註成唯識論,(卷十七),唐．智周撰
050003##X0818 成唯識論學記,(八卷),新羅．太賢集
050004##X0819 成唯識論疏抄,(十八卷但欠卷九本、卷十三末並卷十五、十七),唐．靈泰撰
050005##X0820 成唯識論俗詮,(十卷),明．明昱俗詮
050006##X0821 成唯識論集解,(十卷),明．通潤集解
050007##X0822a 成唯識論證義,(十卷之內自一至三卷),明．王肯堂證義
051##X51
051001##X0822b 成唯識論證義,(十卷之內自四至十卷),明．王肯堂證義
051002##X0823 成唯識論自考,(十卷),明．大惠錄
051003##X0824 成唯識論觀心法要,(十卷),明．智旭述
051004##X0825 成唯識論音響補遺科,(二卷),清．智素科
051005##X0826 成唯識論音響補遺,(十卷),清．智素補遺
051006##X0827 唯識三十論約意,(一卷),明．明昱約意
051007##X0828 唯識三十論直解,(一卷),明．智旭解
051008##X0829=T1834 唯識二十論述記
051008001##T1834 唯識二十論述記
051009##X0830 觀所緣緣論會釋,(一卷),明．明昱會釋
051010##X0831 觀所緣緣論直解,(一卷),明．智旭解
051011##X0832 觀所緣緣論釋記,(一卷附問答釋疑),明．明昱錄
051012##X0833 觀所緣緣論釋直解,(一卷),唐．智旭解
052##X52
052001##X0834=T1821 俱舍論記
052001001##T1821 俱舍論記
052002##X0835=T1822 俱舍論疏
052002001##T1822 俱舍論疏
053##X53
053001##X0836 俱舍論疏,(卷一、二、四、五、六、七及十七),唐．神泰述
053002##X0837 俱舍論法宗原,(一卷),唐．普光撰
053003##X0838 俱舍論頌疏序記,(一卷),唐．法盈修
053004##X0839 俱舍論頌疏義鈔,(六卷即俱舍慧暉),唐．慧暉述
053005##X0840=T1823 俱舍論頌釋疏
053005001##T1823 俱舍論頌釋疏
053006##X0841 俱舍論頌疏記,(二十九卷),唐．遁麟述
053007##X0842 俱舍論頌疏,(卷三十),失名者補作
053008##X0843 順正理論述文記,(卷九及十八),唐．元瑜述
053009##X0844 異部宗輪論疏述記,(一卷),唐．窺基記
053010##X0845 遺教經論住法記,(一卷),宋．元照述
053011##X0846 遺教經論記,(三卷),宋．觀復述
053012##X0847 因明入正理門論述記,(一卷不完),唐．神泰述
053013##X0848 因明入正理論疏,(卷上但佚卷中下),唐．文軌述
053014##X0849=T1840 因明入正理論疏
053014001##T1840 因明入正理論疏
053015##X0850=T1841 因明入正理論義斷
053015001##T1841 因明入正理論義斷
053016##X0851=T1842 因明入正理論義纂要
053016001##T1842 因明入正理論義纂要
053017##X0852 因明入正理論續疏,(下卷但佚卷上),唐．慧沼述
053018##X0853 因明入正理論疏前記,(三卷),唐．智周撰
053019##X0854 因明入正理論疏後記,(三卷下卷不完),唐．智周撰
